Customer ID,Name,Address,Email,Phone Number,Date of Birth,Social-Security-Number,Account-Number,Transaction-history,Financial-Information,Cookies,IP-Address,Device-Information,Country,Age,Gender,Rule_ID
165763,1,1,1,1,0,1,1,0,0,1,1,0,USA,30,female,13
115285,0,1,1,1,1,0,0,0,0,0,1,0,India,73,female,13
814754,0,1,0,1,1,0,0,1,0,0,0,1,China,33,female,13
641087,1,1,0,0,1,1,0,1,0,1,0,1,Germany,50,female,13
599421,0,0,0,0,0,0,0,1,0,1,1,1,Japan,35,male,13
629129,1,1,1,1,1,1,1,1,0,1,0,1,India,49,female,13
604728,0,0,0,1,1,1,1,1,0,1,0,0,USA,44,male,13
345808,1,1,1,1,1,1,1,1,0,0,1,1,France,57,female,13
617048,1,0,0,0,0,0,0,0,0,1,0,1,India,70,male,13
740909,0,0,1,1,1,0,0,0,0,0,0,1,Brazil,44,male,13
711722,1,1,1,1,1,1,1,1,0,0,0,1,China,24,male,13
127308,1,1,0,1,0,0,1,1,0,1,0,1,Australia,47,male,13
898517,0,0,0,0,0,0,0,0,0,0,1,0,USA,68,male,3
797911,1,0,1,0,1,0,1,1,0,0,0,0,Japan,39,male,1
793386,1,1,1,1,1,1,1,1,0,0,1,0,Brazil,39,female,13
682309,1,0,0,1,1,0,1,1,0,1,1,1,Germany,30,male,13
563357,0,0,1,1,0,1,0,0,0,1,1,1,India,24,male,13
465135,1,0,0,0,0,0,0,0,1,1,1,1,USA,39,male,123
719571,1,1,0,0,0,0,0,0,1,0,0,0,Brazil,51,female,12
391100,1,1,1,1,1,1,1,1,1,1,0,0,China,68,male,123
567786,0,1,1,0,0,1,1,1,1,1,0,0,USA,73,female,123
200323,1,1,1,1,1,1,1,1,1,0,0,0,Brazil,69,male,12
524890,1,1,1,1,1,1,1,1,1,1,1,1,Australia,61,female,123
192740,1,0,0,0,1,0,0,1,1,1,1,1,Australia,34,female,123
327858,0,0,0,0,0,1,0,0,1,1,0,1,France,47,male,123
179004,0,1,0,0,0,1,0,0,1,1,0,1,France,37,female,123
228278,1,1,0,0,1,0,1,0,1,1,0,1,France,44,female,123
221066,0,0,1,1,1,0,0,1,1,0,1,1,China,59,male,123
730586,1,1,1,1,1,1,1,1,1,1,1,1,Australia,32,male,123
515208,1,1,1,1,1,1,1,1,1,1,1,1,Germany,30,male,123
781524,1,1,1,1,1,1,1,1,1,0,0,0,Brazil,33,male,12
826533,1,1,1,1,1,1,1,1,0,1,0,0,USA,74,female,13
830775,0,0,0,0,0,0,0,0,0,0,0,0,Canada,71,male,0
649528,1,1,1,1,1,1,1,1,0,1,0,0,India,28,male,13
524899,1,1,0,1,1,1,0,1,0,1,1,1,Australia,38,female,13
441547,1,1,1,1,1,1,1,1,0,0,0,1,Germany,34,male,13
869931,1,1,0,0,1,0,1,1,0,0,1,0,Canada,72,female,13
432073,1,1,1,0,1,1,0,1,0,1,0,1,France,59,female,13
924265,1,1,0,0,1,0,0,0,0,0,0,1,USA,64,female,13
676897,1,1,1,1,1,1,1,1,0,1,0,0,Australia,75,female,13
787040,1,1,1,1,1,1,1,1,0,1,1,1,USA,45,female,13
973359,1,1,1,1,1,1,1,1,0,0,0,0,Japan,61,male,1
513605,0,0,0,1,1,1,0,0,0,0,1,1,Germany,33,female,13
325677,0,0,1,1,0,0,1,0,0,0,0,0,China,65,male,1
132128,1,1,1,1,1,0,0,1,0,0,0,0,Canada,68,male,1
346514,1,1,1,1,1,1,1,1,0,0,1,0,Japan,70,female,13
243356,1,0,1,1,1,1,0,0,0,0,0,1,France,35,male,13
746932,0,1,0,0,0,0,0,0,0,0,1,0,Canada,69,female,13
831136,0,1,1,0,1,1,0,1,0,1,1,1,France,55,female,13
609006,1,1,1,0,1,1,1,1,0,0,0,0,China,46,female,1
