Customer ID,Name,Address,Email,Phone Number,Date of Birth,Social-Security-Number,Account-Number,Transaction-history,Financial-Information,Cookies,IP-Address,Device-Information,Country,Age,Gender
165763,1,1,1,1,0,1,1,0,0,1,1,0,USA,30,female
115285,0,1,1,1,1,0,0,0,0,0,1,0,India,73,female
814754,0,1,0,1,1,0,0,1,0,0,0,1,China,33,female
641087,1,1,0,0,1,1,0,1,0,1,0,1,Germany,50,female
599421,0,0,0,0,0,0,0,1,0,1,1,1,Japan,35,male
629129,1,1,1,1,1,1,1,1,0,1,0,1,India,49,female
604728,0,0,0,1,1,1,1,1,0,1,0,0,USA,44,male
345808,1,1,1,1,1,1,1,1,0,0,1,1,France,57,female
617048,1,0,0,0,0,0,0,0,0,1,0,1,India,70,male
740909,0,0,1,1,1,0,0,0,0,0,0,1,Brazil,44,male
711722,1,1,1,1,1,1,1,1,0,0,0,1,China,24,male
127308,1,1,0,1,0,0,1,1,0,1,0,1,Australia,47,male
898517,0,0,0,0,0,0,0,0,0,0,1,0,USA,68,male
797911,1,0,1,0,1,0,1,1,0,0,0,0,Japan,39,male
793386,1,1,1,1,1,1,1,1,0,0,1,0,Brazil,39,female
682309,1,0,0,1,1,0,1,1,0,1,1,1,Germany,30,male
563357,0,0,1,1,0,1,0,0,0,1,1,1,India,24,male
465135,1,0,0,0,0,0,0,0,1,1,1,1,USA,39,male
719571,1,1,0,0,0,0,0,0,1,0,0,0,Brazil,51,female
391100,1,1,1,1,1,1,1,1,1,1,0,0,China,68,male
567786,0,1,1,0,0,1,1,1,1,1,0,0,USA,73,female
200323,1,1,1,1,1,1,1,1,1,0,0,0,Brazil,69,male
524890,1,1,1,1,1,1,1,1,1,1,1,1,Australia,61,female
192740,1,0,0,0,1,0,0,1,1,1,1,1,Australia,34,female
327858,0,0,0,0,0,1,0,0,1,1,0,1,France,47,male
179004,0,1,0,0,0,1,0,0,1,1,0,1,France,37,female
228278,1,1,0,0,1,0,1,0,1,1,0,1,France,44,female
221066,0,0,1,1,1,0,0,1,1,0,1,1,China,59,male
730586,1,1,1,1,1,1,1,1,1,1,1,1,Australia,32,male
515208,1,1,1,1,1,1,1,1,1,1,1,1,Germany,30,male
781524,1,1,1,1,1,1,1,1,1,0,0,0,Brazil,33,male
826533,1,1,1,1,1,1,1,1,0,1,0,0,USA,74,female
830775,0,0,0,0,0,0,0,0,0,0,0,0,Canada,71,male
649528,1,1,1,1,1,1,1,1,0,1,0,0,India,28,male
524899,1,1,0,1,1,1,0,1,0,1,1,1,Australia,38,female
441547,1,1,1,1,1,1,1,1,0,0,0,1,Germany,34,male
869931,1,1,0,0,1,0,1,1,0,0,1,0,Canada,72,female
432073,1,1,1,0,1,1,0,1,0,1,0,1,France,59,female
924265,1,1,0,0,1,0,0,0,0,0,0,1,USA,64,female
676897,1,1,1,1,1,1,1,1,0,1,0,0,Australia,75,female
787040,1,1,1,1,1,1,1,1,0,1,1,1,USA,45,female
973359,1,1,1,1,1,1,1,1,0,0,0,0,Japan,61,male
513605,0,0,0,1,1,1,0,0,0,0,1,1,Germany,33,female
325677,0,0,1,1,0,0,1,0,0,0,0,0,China,65,male
132128,1,1,1,1,1,0,0,1,0,0,0,0,Canada,68,male
346514,1,1,1,1,1,1,1,1,0,0,1,0,Japan,70,female
243356,1,0,1,1,1,1,0,0,0,0,0,1,France,35,male
746932,0,1,0,0,0,0,0,0,0,0,1,0,Canada,69,female
831136,0,1,1,0,1,1,0,1,0,1,1,1,France,55,female
609006,1,1,1,0,1,1,1,1,0,0,0,0,China,46,female
794142,1,1,1,1,1,1,1,1,0,1,1,1,India,65,female
830406,1,1,0,1,1,1,0,1,0,0,1,1,USA,71,female
436334,1,1,1,1,1,1,1,1,0,0,1,1,France,33,male
948642,1,1,1,1,1,1,1,1,0,0,0,1,China,23,female
383193,1,1,1,1,1,1,1,1,0,0,0,0,France,44,female
871904,1,1,1,1,1,1,1,1,0,1,1,1,India,57,male
137396,1,1,1,1,1,1,1,1,0,1,0,0,Brazil,20,male
803036,1,1,1,1,1,1,1,1,0,1,1,1,Germany,61,male
837266,0,0,0,0,0,0,0,0,0,0,0,0,UK,54,male
591446,1,1,1,1,1,1,1,1,0,1,0,1,UK,43,male
198631,0,1,0,0,1,0,1,1,0,1,1,0,China,27,male
996529,0,0,0,1,0,0,1,0,0,0,1,0,China,28,male
975447,1,0,0,1,1,0,1,1,0,0,0,1,Japan,50,male
716406,1,1,1,0,0,1,1,1,0,1,1,0,India,30,female
944810,0,0,0,1,0,0,0,1,0,1,0,0,Germany,39,female
409951,0,0,0,0,0,0,0,0,0,1,0,0,China,23,female
274867,1,1,0,0,1,0,1,1,0,1,1,1,China,26,male
893209,1,1,1,1,1,1,1,1,0,1,0,1,Japan,68,female
259265,1,1,1,1,0,1,1,1,0,1,0,0,India,21,female
439432,1,1,0,1,1,1,1,1,0,1,0,0,China,64,male
944193,1,1,1,1,1,1,1,1,0,0,1,0,Brazil,39,male
445421,0,0,0,0,0,0,0,1,0,1,0,1,UK,37,female
738313,1,1,1,1,1,1,1,1,0,1,0,1,Japan,58,female
684476,0,0,0,0,1,0,1,0,0,0,0,0,France,71,male
394830,1,1,1,1,1,1,1,1,0,0,1,0,Australia,22,male
152508,1,1,1,1,1,1,1,0,0,1,1,1,Japan,59,female
597249,1,1,1,1,1,1,1,1,0,0,1,1,Japan,61,female
308330,1,0,0,1,1,1,0,1,0,1,1,1,UK,40,male
984805,1,1,1,1,1,1,1,0,0,0,0,0,China,63,female
460319,0,0,1,0,1,0,0,1,0,0,1,0,Brazil,32,female
486616,0,0,0,0,0,0,0,1,0,1,1,0,USA,21,male
476124,1,1,1,1,1,1,1,1,0,0,1,1,Germany,52,male
417042,1,1,1,1,1,1,1,1,0,0,1,0,China,67,male
372840,1,1,1,1,1,1,1,1,0,0,1,0,USA,72,male
134630,1,1,1,1,0,1,1,1,0,1,0,1,France,34,male
231761,0,0,0,0,0,0,0,0,0,1,0,0,UK,64,female
418306,1,1,0,1,1,0,1,0,0,1,1,1,Germany,70,male
354931,0,0,0,0,0,0,0,0,0,1,0,0,Canada,41,female
381176,0,1,1,1,1,0,0,0,0,0,0,0,Germany,59,male
378215,0,0,0,1,0,0,1,0,0,0,1,0,Japan,27,female
752778,0,1,1,1,1,0,0,0,0,1,0,0,USA,24,female
783223,0,0,0,0,0,1,0,0,0,1,0,0,UK,41,male
105541,0,0,1,0,0,0,1,0,0,1,0,0,Japan,46,female
248216,1,1,1,1,1,1,1,1,0,1,1,1,India,58,male
756915,1,1,1,1,1,1,1,1,0,0,0,1,France,71,male
132825,1,1,1,1,1,1,1,1,0,1,0,1,India,65,female
573236,1,1,1,1,1,1,1,1,0,0,0,0,USA,20,male
781706,0,1,0,0,1,1,0,0,0,0,0,1,Brazil,53,male
227390,1,1,1,1,0,1,0,1,0,0,1,0,Australia,31,male
865193,0,1,1,1,1,0,1,0,0,0,1,0,Australia,70,female
684900,1,1,1,1,0,0,1,1,0,1,1,1,UK,56,male
887718,1,1,0,0,1,1,1,0,0,1,0,0,Japan,49,female
484687,1,1,1,0,0,1,1,1,0,0,1,0,India,71,male
911048,1,1,1,1,1,1,1,1,0,0,1,0,India,35,male
270074,0,0,1,0,0,0,0,0,0,1,1,0,Australia,69,female
314494,1,0,1,0,1,0,1,1,0,1,1,1,China,66,female
173552,1,1,1,1,1,1,1,1,0,1,1,0,India,40,male
976192,0,0,0,0,0,0,0,1,0,0,1,1,India,29,male
990201,0,0,1,0,1,0,1,0,0,1,0,0,Brazil,18,female
421321,1,1,1,1,1,1,1,1,0,1,1,1,Brazil,37,male
769740,0,0,0,0,1,0,0,0,0,1,0,1,China,75,male
457184,1,1,0,0,0,1,1,1,0,0,0,0,Germany,39,male
727707,1,0,1,0,1,0,1,0,0,0,0,0,China,52,male
695380,0,1,1,1,1,1,1,1,0,0,0,1,Brazil,53,male
176115,0,0,0,0,1,1,0,0,0,0,0,1,Canada,33,male
581619,0,0,1,1,0,1,1,1,0,0,0,1,USA,25,male
572781,1,1,0,1,0,1,1,1,0,1,0,0,UK,64,female
590598,0,0,0,1,1,0,0,1,0,0,1,0,Australia,22,female
368288,1,1,1,1,1,1,1,1,0,0,1,1,Japan,51,male
741238,1,0,1,1,1,1,0,1,0,0,1,0,Germany,55,male
537950,0,0,0,1,0,0,0,0,0,1,1,1,Canada,46,male
989628,0,1,0,1,0,1,1,1,0,0,1,1,UK,23,female
505007,1,1,1,1,1,1,1,1,0,1,0,1,China,67,male
392239,1,0,1,1,0,0,1,0,0,1,1,0,USA,38,male
450979,1,1,1,1,1,1,1,1,0,0,1,1,Japan,68,female
359393,0,0,0,0,0,0,0,0,0,0,1,0,Japan,38,female
940985,1,1,1,1,1,1,1,1,0,1,0,1,Germany,35,male
515439,0,1,1,1,1,1,1,1,0,0,0,0,Japan,73,female
446129,1,1,1,1,1,1,1,1,0,1,0,0,UK,33,female
524865,0,0,0,0,0,0,1,0,0,1,0,0,Canada,23,male
935584,0,0,0,1,0,1,1,0,0,0,1,1,Japan,72,male
682985,0,1,1,1,0,0,1,0,0,0,0,0,Australia,48,male
523436,1,1,0,1,1,0,1,1,0,1,0,0,India,66,male
